Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
SYNCOPE,98631,0.8150312,4133.0000000,4133.0000000,random forest,undersampling,best first,no cost sensitive,0.7241379,0.0210811,0.9789189,0.2758621,0.1521739,0.7241379,0.9233861,0.2450110
SYNCOPE,104210,0.8611329,4166.0000000,4166.0000000,random forest,undersampling,best first,no cost sensitive,0.0303030,0.0236206,0.9763794,0.9696970,0.0075758,0.0303030,0.4700958,0.0026825
SYNCOPE,109789,0.9072346,4256.0000000,4256.0000000,random forest,undersampling,best first,no cost sensitive,0.9333333,0.1088177,0.8911823,0.0666667,0.1226277,0.9333333,0.9467027,0.1939266
SYNCOPE,115402,0.9536173,4351.0000000,4351.0000000,random forest,undersampling,best first,no cost sensitive,0.1368421,0.0299021,0.9700979,0.8631579,0.0730337,0.1368421,0.6015700,0.0748187
SYNCOPE,1153,0.0095277,5.0000000,5.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.5000000,0.0000000
SYNCOPE,2323,0.0191960,8.0000000,8.0000000,naive bayes,undersampling,best first,no cost sensitive,1.0000000,0.1395548,0.8604452,0.0000000,0.0180723,1.0000000,0.9302226,0.0306242
SYNCOPE,3494,0.0288725,12.0000000,12.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2500000,0.0356061,0.9643939,0.7500000,0.0208333,0.2500000,0.8870265,0.0330685
SYNCOPE,4818,0.0398132,21.0000000,21.0000000,naive bayes,undersampling,best first,no cost sensitive,0.4444444,0.1017812,0.8982188,0.5555556,0.0243902,0.4444444,0.8831284,0.0358367
SYNCOPE,6399,0.0528777,131.0000000,131.0000000,naive bayes,undersampling,best first,no cost sensitive,0.8181818,0.3200000,0.6800000,0.1818182,0.1475410,0.8181818,0.8157790,0.1597309
SYNCOPE,8134,0.0672148,257.0000000,257.0000000,naive bayes,undersampling,best first,no cost sensitive,1.0000000,0.4598898,0.5401102,0.0000000,0.1436716,1.0000000,0.7680455,0.1440212
SYNCOPE,9893,0.0817502,422.0000000,422.0000000,naive bayes,undersampling,best first,no cost sensitive,1.0000000,0.4088127,0.5911873,0.0000000,0.1980792,1.0000000,0.8075591,0.2096531
SYNCOPE,11692,0.0966161,497.0000000,497.0000000,naive bayes,undersampling,best first,no cost sensitive,0.6800000,0.2794203,0.7205797,0.3200000,0.0956848,0.6800000,0.8049507,0.1021736
SYNCOPE,13492,0.1114903,573.0000000,573.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1184211,0.0299885,0.9700115,0.8815789,0.1475410,0.1184211,0.8095861,0.0976464
SYNCOPE,15302,0.1264471,659.0000000,659.0000000,naive bayes,undersampling,best first,no cost sensitive,0.7093023,0.3092486,0.6907514,0.2906977,0.1023490,0.7093023,0.8006049,0.1047887
SYNCOPE,17118,0.1414535,754.0000000,754.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0315789,0.0011581,0.9988419,0.9684211,0.6000000,0.0315789,0.7711913,0.0550731
SYNCOPE,18940,0.1565095,897.0000000,897.0000000,naive bayes,undersampling,best first,no cost sensitive,0.7272727,0.2873764,0.7126236,0.2727273,0.1739130,0.7272727,0.8055912,0.1789240
SYNCOPE,20802,0.1718960,1055.0000000,1055.0000000,naive bayes,undersampling,best first,no cost sensitive,0.5949367,0.1562500,0.8437500,0.4050633,0.2513369,0.5949367,0.8427593,0.2702477
SYNCOPE,22752,0.1880098,1305.0000000,1305.0000000,naive bayes,undersampling,best first,no cost sensitive,0.5200000,0.1165158,0.8834842,0.4800000,0.3869048,0.5200000,0.8439491,0.3515654
SYNCOPE,24770,0.2046854,1561.0000000,1561.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0000000,0.0016997,0.9983003,1.0000000,0.0000000,0.0000000,0.7665534,-0.0029431
SYNCOPE,26791,0.2213858,1825.0000000,1825.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0757576,0.0045532,0.9954468,0.9242424,0.7142857,0.0757576,0.8010835,0.1148105
SYNCOPE,28812,0.2380862,2099.0000000,2099.0000000,naive bayes,undersampling,best first,no cost sensitive,0.6204380,0.2857923,0.7142077,0.3795620,0.2453102,0.6204380,0.8099637,0.2028011
SYNCOPE,30916,0.2554725,2393.0000000,2393.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2244898,0.0783991,0.9216009,0.7755102,0.3157895,0.2244898,0.7758300,0.1662497
SYNCOPE,33034,0.2729744,2430.0000000,2430.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2972973,0.0371075,0.9628925,0.7027027,0.1235955,0.2972973,0.8359477,0.1539281
SYNCOPE,35173,0.2906499,2500.0000000,2500.0000000,naive bayes,undersampling,best first,no cost sensitive,0.6857143,0.0375723,0.9624277,0.3142857,0.3809524,0.6857143,0.9104390,0.4674621
SYNCOPE,37319,0.3083833,2595.0000000,2595.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2947368,0.2807760,0.7192240,0.7052632,0.0339806,0.2947368,0.6368180,0.0029652
SYNCOPE,40249,0.3325951,2712.0000000,2712.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1965812,0.1150555,0.8849445,0.8034188,0.0595855,0.1965812,0.6793395,0.0386939
SYNCOPE,43521,0.3596331,2849.0000000,2849.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1751825,0.1044064,0.8955936,0.8248175,0.0606061,0.1751825,0.6491587,0.0370767
SYNCOPE,47221,0.3902078,3033.0000000,3033.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2336957,0.1218950,0.8781050,0.7663043,0.0828516,0.2336957,0.6309581,0.0598686
SYNCOPE,51310,0.4239970,3250.0000000,3250.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2857143,0.1680880,0.8319120,0.7142857,0.0764488,0.2857143,0.5927352,0.0510972
SYNCOPE,55983,0.4626121,3495.0000000,3495.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2163265,0.1037415,0.8962585,0.7836735,0.0979667,0.2163265,0.5968555,0.0715908
SYNCOPE,60932,0.5035078,3578.0000000,3578.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1445783,0.0321334,0.9678666,0.8554217,0.0705882,0.1445783,0.7518690,0.0742088
SYNCOPE,65932,0.5448250,3658.0000000,3658.0000000,naive bayes,undersampling,best first,no cost sensitive,0.5875000,0.0760891,0.9239109,0.4125000,0.1068182,0.5875000,0.9094107,0.1590629
SYNCOPE,71177,0.5881668,3791.0000000,3791.0000000,naive bayes,undersampling,best first,no cost sensitive,0.4285714,0.0731569,0.9268431,0.5714286,0.1283784,0.4285714,0.8580255,0.1660988
SYNCOPE,76600,0.6329794,3872.0000000,3872.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0246914,0.0104830,0.9895170,0.9753086,0.0344828,0.0246914,0.6312439,0.0165180
SYNCOPE,82023,0.6777920,3955.0000000,3955.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2771084,0.0262914,0.9737086,0.7228916,0.1393939,0.2771084,0.9417622,0.1687430
SYNCOPE,87507,0.7231087,4093.0000000,4093.0000000,naive bayes,undersampling,best first,no cost sensitive,0.3115942,0.0232429,0.9767571,0.6884058,0.2544379,0.3115942,0.9578511,0.2599024
SYNCOPE,93066,0.7690452,4104.0000000,4104.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0909091,0.0097227,0.9902773,0.9090909,0.0181818,0.0909091,0.8576538,0.0270979
SYNCOPE,98631,0.8150312,4133.0000000,4133.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1034483,0.0090090,0.9909910,0.8965517,0.0566038,0.1034483,0.8557751,0.0669008
SYNCOPE,104210,0.8611329,4166.0000000,4166.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0000000,0.0082943,0.9917057,1.0000000,0.0000000,0.0000000,0.6255368,-0.0069362
SYNCOPE,109789,0.9072346,4256.0000000,4256.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1111111,0.0130364,0.9869636,0.8888889,0.1219512,0.1111111,0.8914469,0.1025586
SYNCOPE,115402,0.9536173,4351.0000000,4351.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0105263,0.0065241,0.9934759,0.9894737,0.0270270,0.0105263,0.5998026,0.0057175
SYNCOPE,1153,0.0095277,5.0000000,5.0000000,ibk,undersampling,best first,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.5000000,0.0000000
SYNCOPE,2323,0.0191960,8.0000000,8.0000000,ibk,undersampling,best first,no cost sensitive,0.3333333,0.0916096,0.9083904,0.6666667,0.0092593,0.3333333,0.7766838,0.0130980
SYNCOPE,3494,0.0288725,12.0000000,12.0000000,ibk,undersampling,best first,no cost sensitive,1.0000000,0.2545455,0.7454545,0.0000000,0.0117647,1.0000000,0.8439394,0.0173876
SYNCOPE,4818,0.0398132,21.0000000,21.0000000,ibk,undersampling,best first,no cost sensitive,0.4444444,0.0807888,0.9192112,0.5555556,0.0305344,0.4444444,0.6690345,0.0469902
SYNCOPE,6399,0.0528777,131.0000000,131.0000000,ibk,undersampling,best first,no cost sensitive,0.8818182,0.3156923,0.6843077,0.1181818,0.1590164,0.8818182,0.7812699,0.1815157
SYNCOPE,8134,0.0672148,257.0000000,257.0000000,ibk,undersampling,best first,no cost sensitive,0.6904762,0.2535211,0.7464789,0.3095238,0.1736527,0.6904762,0.8141287,0.1841147
SYNCOPE,9893,0.0817502,422.0000000,422.0000000,ibk,undersampling,best first,no cost sensitive,0.9454545,0.3170135,0.6829865,0.0545455,0.2314540,0.9454545,0.8583751,0.2633128
SYNCOPE,11692,0.0966161,497.0000000,497.0000000,ibk,undersampling,best first,no cost sensitive,0.7466667,0.2585507,0.7414493,0.2533333,0.1115538,0.7466667,0.7984657,0.1311118
SYNCOPE,13492,0.1114903,573.0000000,573.0000000,ibk,undersampling,best first,no cost sensitive,0.6973684,0.2750865,0.7249135,0.3026316,0.1000000,0.6973684,0.8168025,0.1095149
SYNCOPE,15302,0.1264471,659.0000000,659.0000000,ibk,undersampling,best first,no cost sensitive,0.4883721,0.2601156,0.7398844,0.5116279,0.0853659,0.4883721,0.7224089,0.0703817
SYNCOPE,17118,0.1414535,754.0000000,754.0000000,ibk,undersampling,best first,no cost sensitive,0.5263158,0.2304574,0.7695426,0.4736842,0.1116071,0.5263158,0.6873191,0.1073625
SYNCOPE,18940,0.1565095,897.0000000,897.0000000,ibk,undersampling,best first,no cost sensitive,0.5944056,0.1832461,0.8167539,0.4055944,0.2125000,0.5944056,0.7940134,0.2254351
SYNCOPE,20802,0.1718960,1055.0000000,1055.0000000,ibk,undersampling,best first,no cost sensitive,0.7468354,0.2539063,0.7460938,0.2531646,0.2059337,0.7468354,0.8202860,0.2243138
SYNCOPE,22752,0.1880098,1305.0000000,1305.0000000,ibk,undersampling,best first,no cost sensitive,0.6080000,0.1662896,0.8337104,0.3920000,0.3408072,0.6080000,0.7601923,0.3304805
SYNCOPE,24770,0.2046854,1561.0000000,1561.0000000,ibk,undersampling,best first,no cost sensitive,0.6171875,0.2776204,0.7223796,0.3828125,0.2438272,0.6171875,0.7180484,0.2052290
SYNCOPE,26791,0.2213858,1825.0000000,1825.0000000,ibk,undersampling,best first,no cost sensitive,0.9886364,0.2663631,0.7336369,0.0113636,0.3580247,0.9886364,0.8614945,0.4131161
SYNCOPE,28812,0.2380862,2099.0000000,2099.0000000,ibk,undersampling,best first,no cost sensitive,0.7189781,0.3185792,0.6814208,0.2810219,0.2525641,0.7189781,0.7068914,0.2242997
SYNCOPE,30916,0.2554725,2393.0000000,2393.0000000,ibk,undersampling,best first,no cost sensitive,0.7789116,0.3179825,0.6820175,0.2210884,0.2830655,0.7789116,0.7301951,0.2657146
SYNCOPE,33034,0.2729744,2430.0000000,2430.0000000,ibk,undersampling,best first,no cost sensitive,0.9189189,0.3463368,0.6536632,0.0810811,0.0446194,0.9189189,0.7870882,0.0538909
SYNCOPE,35173,0.2906499,2500.0000000,2500.0000000,ibk,undersampling,best first,no cost sensitive,0.7142857,0.0602119,0.9397881,0.2857143,0.2857143,0.7142857,0.8273121,0.3792367
SYNCOPE,37319,0.3083833,2595.0000000,2595.0000000,ibk,undersampling,best first,no cost sensitive,0.4736842,0.1992945,0.8007055,0.5263158,0.0737705,0.4736842,0.6375661,0.0758046
SYNCOPE,40249,0.3325951,2712.0000000,2712.0000000,ibk,undersampling,best first,no cost sensitive,0.5982906,0.2199683,0.7800317,0.4017094,0.0916230,0.5982906,0.6940835,0.1032984
SYNCOPE,43521,0.3596331,2849.0000000,2849.0000000,ibk,undersampling,best first,no cost sensitive,0.5255474,0.1467864,0.8532136,0.4744526,0.1210084,0.5255474,0.6931049,0.1452716
SYNCOPE,47221,0.3902078,3033.0000000,3033.0000000,ibk,undersampling,best first,no cost sensitive,0.5597826,0.2714469,0.7285531,0.4402174,0.0885641,0.5597826,0.6443251,0.0815666
SYNCOPE,51310,0.4239970,3250.0000000,3250.0000000,ibk,undersampling,best first,no cost sensitive,0.5576037,0.4315530,0.5684470,0.4423963,0.0591977,0.5576037,0.5638801,0.0251866
SYNCOPE,55983,0.4626121,3495.0000000,3495.0000000,ibk,undersampling,best first,no cost sensitive,0.5102041,0.2200255,0.7799745,0.4897959,0.1077586,0.5102041,0.6528400,0.1047542
SYNCOPE,60932,0.5035078,3578.0000000,3578.0000000,ibk,undersampling,best first,no cost sensitive,0.5180723,0.2599146,0.7400854,0.4819277,0.0325511,0.5180723,0.6315671,0.0309841
SYNCOPE,65932,0.5448250,3658.0000000,3658.0000000,ibk,undersampling,best first,no cost sensitive,0.6625000,0.1742498,0.8257502,0.3375000,0.0556139,0.6625000,0.7417268,0.0766275
SYNCOPE,71177,0.5881668,3791.0000000,3791.0000000,ibk,undersampling,best first,no cost sensitive,0.6165414,0.0720227,0.9279773,0.3834586,0.1771058,0.6165414,0.7687828,0.2464543
SYNCOPE,76600,0.6329794,3872.0000000,3872.0000000,ibk,undersampling,best first,no cost sensitive,0.0987654,0.0535380,0.9464620,0.9012346,0.0272109,0.0987654,0.5384630,0.0197080
SYNCOPE,82023,0.6777920,3955.0000000,3955.0000000,ibk,undersampling,best first,no cost sensitive,0.6746988,0.1127569,0.8872431,0.3253012,0.0842105,0.6746988,0.7866281,0.1262182
SYNCOPE,87507,0.7231087,4093.0000000,4093.0000000,ibk,undersampling,best first,no cost sensitive,0.5434783,0.0442723,0.9557277,0.4565217,0.2380952,0.5434783,0.7537716,0.3072077
SYNCOPE,93066,0.7690452,4104.0000000,4104.0000000,ibk,undersampling,best first,no cost sensitive,0.1818182,0.0102629,0.9897371,0.8181818,0.0338983,0.1818182,0.5907863,0.0539907
SYNCOPE,98631,0.8150312,4133.0000000,4133.0000000,ibk,undersampling,best first,no cost sensitive,0.7931034,0.0259459,0.9740541,0.2068966,0.1377246,0.7931034,0.9304132,0.2278543
SYNCOPE,104210,0.8611329,4166.0000000,4166.0000000,ibk,undersampling,best first,no cost sensitive,0.0303030,0.0261450,0.9738550,0.9696970,0.0068493,0.0303030,0.5598985,0.0015389
SYNCOPE,109789,0.9072346,4256.0000000,4256.0000000,ibk,undersampling,best first,no cost sensitive,0.8555556,0.0999457,0.9000543,0.1444444,0.1224165,0.8555556,0.8986863,0.1915046
SYNCOPE,115402,0.9536173,4351.0000000,4351.0000000,ibk,undersampling,best first,no cost sensitive,0.1052632,0.0184850,0.9815150,0.8947368,0.0892857,0.1052632,0.5924286,0.0797643
SYNCOPE,1153,0.0095277,5.0000000,5.0000000,random forest,smote,best first,no cost sensitive,1.0000000,1.0000000,0.0000000,0.0000000,0.0025641,1.0000000,0.5000000,0.0000000
SYNCOPE,2323,0.0191960,8.0000000,8.0000000,random forest,smote,best first,no cost sensitive,0.0000000,0.0077055,0.9922945,1.0000000,0.0000000,0.0000000,0.6401256,-0.0038577
SYNCOPE,3494,0.0288725,12.0000000,12.0000000,random forest,smote,best first,no cost sensitive,0.0000000,0.0113636,0.9886364,1.0000000,0.0000000,0.0000000,0.6145833,-0.0047931
SYNCOPE,4818,0.0398132,21.0000000,21.0000000,random forest,smote,best first,no cost sensitive,0.0000000,0.0178117,0.9821883,1.0000000,0.0000000,0.0000000,0.4888677,-0.0086907
SYNCOPE,6399,0.0528777,131.0000000,131.0000000,random forest,smote,best first,no cost sensitive,0.0272727,0.0043077,0.9956923,0.9727273,0.3000000,0.0272727,0.5889538,0.0398544
SYNCOPE,8134,0.0672148,257.0000000,257.0000000,random forest,smote,best first,no cost sensitive,0.1825397,0.0587875,0.9412125,0.8174603,0.1932773,0.1825397,0.7775396,0.1270080
SYNCOPE,9893,0.0817502,422.0000000,422.0000000,random forest,smote,best first,no cost sensitive,0.1575758,0.0764994,0.9235006,0.8424242,0.1721854,0.1575758,0.7620396,0.0842913
SYNCOPE,11692,0.0966161,497.0000000,497.0000000,random forest,smote,best first,no cost sensitive,0.2533333,0.0973913,0.9026087,0.7466667,0.1016043,0.2533333,0.8080039,0.0909706
SYNCOPE,13492,0.1114903,573.0000000,573.0000000,random forest,smote,best first,no cost sensitive,0.3026316,0.0928489,0.9071511,0.6973684,0.1250000,0.3026316,0.7832893,0.1249164
SYNCOPE,15302,0.1264471,659.0000000,659.0000000,random forest,smote,best first,no cost sensitive,0.4302326,0.2086705,0.7913295,0.5697674,0.0929648,0.4302326,0.6566575,0.0813436
SYNCOPE,17118,0.1414535,754.0000000,754.0000000,random forest,smote,best first,no cost sensitive,0.2210526,0.1453387,0.8546613,0.7789474,0.0772059,0.2210526,0.6560479,0.0402662
SYNCOPE,18940,0.1565095,897.0000000,897.0000000,random forest,smote,best first,no cost sensitive,0.3706294,0.1407795,0.8592205,0.6293706,0.1796610,0.3706294,0.6823470,0.1545462
SYNCOPE,20802,0.1718960,1055.0000000,1055.0000000,random forest,smote,best first,no cost sensitive,0.3987342,0.1863839,0.8136161,0.6012658,0.1586902,0.3987342,0.7182820,0.1256775
SYNCOPE,22752,0.1880098,1305.0000000,1305.0000000,random forest,smote,best first,no cost sensitive,0.3120000,0.0588235,0.9411765,0.6880000,0.4285714,0.3120000,0.7011550,0.2866482
SYNCOPE,24770,0.2046854,1561.0000000,1561.0000000,random forest,smote,best first,no cost sensitive,0.2500000,0.1365439,0.8634561,0.7500000,0.2098361,0.2500000,0.6686880,0.1048750
SYNCOPE,26791,0.2213858,1825.0000000,1825.0000000,random forest,smote,best first,no cost sensitive,0.8825758,0.0096756,0.9903244,0.1174242,0.9320000,0.8825758,0.9814541,0.8930209
SYNCOPE,28812,0.2380862,2099.0000000,2099.0000000,random forest,smote,best first,no cost sensitive,0.5328467,0.1743169,0.8256831,0.4671533,0.3139785,0.5328467,0.8157473,0.2765677
SYNCOPE,30916,0.2554725,2393.0000000,2393.0000000,random forest,smote,best first,no cost sensitive,0.3503401,0.1112939,0.8887061,0.6496599,0.3366013,0.3503401,0.7459460,0.2350230
SYNCOPE,33034,0.2729744,2430.0000000,2430.0000000,random forest,smote,best first,no cost sensitive,0.4864865,0.1465271,0.8534729,0.5135135,0.0552147,0.4864865,0.8098851,0.0702880
SYNCOPE,35173,0.2906499,2500.0000000,2500.0000000,random forest,smote,best first,no cost sensitive,0.2428571,0.0062620,0.9937380,0.7571429,0.5666667,0.2428571,0.9389795,0.3268251
SYNCOPE,37319,0.3083833,2595.0000000,2595.0000000,random forest,smote,best first,no cost sensitive,0.1894737,0.0275132,0.9724868,0.8105263,0.1875000,0.1894737,0.7024301,0.1611408
SYNCOPE,40249,0.3325951,2712.0000000,2712.0000000,random forest,smote,best first,no cost sensitive,0.2307692,0.0263074,0.9736926,0.7692308,0.2454545,0.2307692,0.7397659,0.2105260
SYNCOPE,43521,0.3596331,2849.0000000,2849.0000000,random forest,smote,best first,no cost sensitive,0.2335766,0.0230143,0.9769857,0.7664234,0.2807018,0.2335766,0.7641944,0.2290499
SYNCOPE,47221,0.3902078,3033.0000000,3033.0000000,random forest,smote,best first,no cost sensitive,0.4673913,0.0724712,0.9275288,0.5326087,0.2330623,0.4673913,0.7645313,0.2670130
SYNCOPE,51310,0.4239970,3250.0000000,3250.0000000,random forest,smote,best first,no cost sensitive,0.2764977,0.0507181,0.9492819,0.7235023,0.2097902,0.2764977,0.7288252,0.1961179
SYNCOPE,55983,0.4626121,3495.0000000,3495.0000000,random forest,smote,best first,no cost sensitive,0.2693878,0.0367772,0.9632228,0.7306122,0.2761506,0.2693878,0.7334526,0.2353422
SYNCOPE,60932,0.5035078,3578.0000000,3578.0000000,random forest,smote,best first,no cost sensitive,0.0963855,0.0500305,0.9499695,0.9036145,0.0314961,0.0963855,0.6499261,0.0230309
SYNCOPE,65932,0.5448250,3658.0000000,3658.0000000,random forest,smote,best first,no cost sensitive,0.2000000,0.0371733,0.9628267,0.8000000,0.0769231,0.2000000,0.8411205,0.0910863
SYNCOPE,71177,0.5881668,3791.0000000,3791.0000000,random forest,smote,best first,no cost sensitive,0.1127820,0.0064272,0.9935728,0.8872180,0.3061224,0.1127820,0.9165435,0.1536585
SYNCOPE,76600,0.6329794,3872.0000000,3872.0000000,random forest,smote,best first,no cost sensitive,0.0493827,0.0024335,0.9975665,0.9506173,0.2352941,0.0493827,0.7891205,0.0768489
SYNCOPE,82023,0.6777920,3955.0000000,3955.0000000,random forest,smote,best first,no cost sensitive,0.2168675,0.0131457,0.9868543,0.7831325,0.2022472,0.2168675,0.9705811,0.1967206
SYNCOPE,87507,0.7231087,4093.0000000,4093.0000000,random forest,smote,best first,no cost sensitive,0.2753623,0.0079321,0.9920679,0.7246377,0.4691358,0.2753623,0.9747587,0.3348169
SYNCOPE,93066,0.7690452,4104.0000000,4104.0000000,random forest,smote,best first,no cost sensitive,0.3636364,0.0046813,0.9953187,0.6363636,0.1333333,0.3636364,0.7151766,0.1927870
SYNCOPE,98631,0.8150312,4133.0000000,4133.0000000,random forest,smote,best first,no cost sensitive,0.1034483,0.0003604,0.9996396,0.8965517,0.6000000,0.1034483,0.9215688,0.1752096
SYNCOPE,104210,0.8611329,4166.0000000,4166.0000000,random forest,smote,best first,no cost sensitive,0.0000000,0.0009016,0.9990984,1.0000000,0.0000000,0.0000000,0.5022102,-0.0015590
SYNCOPE,109789,0.9072346,4256.0000000,4256.0000000,random forest,smote,best first,no cost sensitive,0.2111111,0.0050697,0.9949303,0.7888889,0.4042553,0.2111111,0.9619319,0.2693338
SYNCOPE,115402,0.9536173,4351.0000000,4351.0000000,random forest,smote,best first,no cost sensitive,0.0315789,0.0001812,0.9998188,0.9684211,0.7500000,0.0315789,0.5979474,0.0593195
SYNCOPE,1153,0.0095277,5.0000000,5.0000000,naive bayes,smote,best first,no cost sensitive,0.0000000,0.0000000,1.0000000,1.0000000,NaN,0.0000000,0.5000000,0.0000000
SYNCOPE,2323,0.0191960,8.0000000,8.0000000,naive bayes,smote,best first,no cost sensitive,1.0000000,0.1224315,0.8775685,0.0000000,0.0205479,1.0000000,0.9332192,0.0354257
SYNCOPE,3494,0.0288725,12.0000000,12.0000000,naive bayes,smote,best first,no cost sensitive,0.2500000,0.0234848,0.9765152,0.7500000,0.0312500,0.2500000,0.9111742,0.0504556
SYNCOPE,4818,0.0398132,21.0000000,21.0000000,naive bayes,smote,best first,no cost sensitive,0.3333333,0.0636132,0.9363868,0.6666667,0.0291262,0.3333333,0.8693808,0.0435572
SYNCOPE,6399,0.0528777,131.0000000,131.0000000,naive bayes,smote,best first,no cost sensitive,0.5000000,0.1796923,0.8203077,0.5000000,0.1585014,0.5000000,0.8520308,0.1598063
SYNCOPE,8134,0.0672148,257.0000000,257.0000000,naive bayes,smote,best first,no cost sensitive,0.9920635,0.4574403,0.5425597,0.0079365,0.1433486,0.9920635,0.7743247,0.1432575
SYNCOPE,9893,0.0817502,422.0000000,422.0000000,naive bayes,smote,best first,no cost sensitive,1.0000000,0.4026928,0.5973072,0.0000000,0.2004860,1.0000000,0.8160454,0.2138898
SYNCOPE,11692,0.0966161,497.0000000,497.0000000,naive bayes,smote,best first,no cost sensitive,0.6933333,0.2950725,0.7049275,0.3066667,0.0926916,0.6933333,0.8041739,0.0971574
SYNCOPE,13492,0.1114903,573.0000000,573.0000000,naive bayes,smote,best first,no cost sensitive,0.0263158,0.0011534,0.9988466,0.9736842,0.5000000,0.0263158,0.8147916,0.0459942
SYNCOPE,15302,0.1264471,659.0000000,659.0000000,naive bayes,smote,best first,no cost sensitive,0.7093023,0.3092486,0.6907514,0.2906977,0.1023490,0.7093023,0.7996303,0.1047887
SYNCOPE,17118,0.1414535,754.0000000,754.0000000,naive bayes,smote,best first,no cost sensitive,0.0210526,0.0011581,0.9988419,0.9789474,0.5000000,0.0210526,0.7729802,0.0363438
SYNCOPE,18940,0.1565095,897.0000000,897.0000000,naive bayes,smote,best first,no cost sensitive,0.7412587,0.2827225,0.7172775,0.2587413,0.1790541,0.7412587,0.8091853,0.1879762
SYNCOPE,20802,0.1718960,1055.0000000,1055.0000000,naive bayes,smote,best first,no cost sensitive,0.7215190,0.3102679,0.6897321,0.2784810,0.1701493,0.7215190,0.8316074,0.1660014
SYNCOPE,22752,0.1880098,1305.0000000,1305.0000000,naive bayes,smote,best first,no cost sensitive,0.5800000,0.2545249,0.7454751,0.4200000,0.2436975,0.5800000,0.8169186,0.2043887
SYNCOPE,24770,0.2046854,1561.0000000,1561.0000000,naive bayes,smote,best first,no cost sensitive,0.0039063,0.0016997,0.9983003,0.9960938,0.2500000,0.0039063,0.7677463,0.0038096
SYNCOPE,26791,0.2213858,1825.0000000,1825.0000000,naive bayes,smote,best first,no cost sensitive,0.0416667,0.0028458,0.9971542,0.9583333,0.6875000,0.0416667,0.7969055,0.0646070
SYNCOPE,28812,0.2380862,2099.0000000,2099.0000000,naive bayes,smote,best first,no cost sensitive,0.6678832,0.3169399,0.6830601,0.3321168,0.2398427,0.6678832,0.8068874,0.1995437
SYNCOPE,30916,0.2554725,2393.0000000,2393.0000000,naive bayes,smote,best first,no cost sensitive,0.1870748,0.0866228,0.9133772,0.8129252,0.2582160,0.1870748,0.7730226,0.1135758
SYNCOPE,33034,0.2729744,2430.0000000,2430.0000000,naive bayes,smote,best first,no cost sensitive,0.2972973,0.0371075,0.9628925,0.7027027,0.1235955,0.2972973,0.8370021,0.1539281
SYNCOPE,35173,0.2906499,2500.0000000,2500.0000000,naive bayes,smote,best first,no cost sensitive,0.6857143,0.0366089,0.9633911,0.3142857,0.3870968,0.6857143,0.9107969,0.4728647
SYNCOPE,37319,0.3083833,2595.0000000,2595.0000000,naive bayes,smote,best first,no cost sensitive,0.3263158,0.2843034,0.7156966,0.6736842,0.0370370,0.3263158,0.6438764,0.0087995
SYNCOPE,40249,0.3325951,2712.0000000,2712.0000000,naive bayes,smote,best first,no cost sensitive,0.1880342,0.1112520,0.8887480,0.8119658,0.0589812,0.1880342,0.6826581,0.0373919
SYNCOPE,43521,0.3596331,2849.0000000,2849.0000000,naive bayes,smote,best first,no cost sensitive,0.1751825,0.1015998,0.8984002,0.8248175,0.0621762,0.1751825,0.6516284,0.0392689
SYNCOPE,47221,0.3902078,3033.0000000,3033.0000000,naive bayes,smote,best first,no cost sensitive,0.2336957,0.1160051,0.8839949,0.7663043,0.0866935,0.2336957,0.6293242,0.0650987
SYNCOPE,51310,0.4239970,3250.0000000,3250.0000000,naive bayes,smote,best first,no cost sensitive,0.2857143,0.1535009,0.8464991,0.7142857,0.0831099,0.2857143,0.5999346,0.0612231
SYNCOPE,55983,0.4626121,3495.0000000,3495.0000000,naive bayes,smote,best first,no cost sensitive,0.1959184,0.0980017,0.9019983,0.8040816,0.0943026,0.1959184,0.6058522,0.0648148
