Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,naive bayes,oversampling,no selection,no cost sensitive,0.0294118,0.0105820,0.9894180,0.9705882,0.4000000,0.0294118,0.7037232,0.0290638
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,naive bayes,oversampling,no selection,no cost sensitive,0.0500000,0.0066556,0.9933444,0.9500000,0.6363636,0.0500000,0.6704956,0.0670337
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,naive bayes,oversampling,no selection,no cost sensitive,0.2033898,0.0384068,0.9615932,0.7966102,0.3076923,0.2033898,0.6563879,0.1953078
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,ibk,oversampling,no selection,no cost sensitive,0.5629630,0.3230769,0.6769231,0.4370370,0.3762376,0.5629630,0.6026686,0.2063978
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,ibk,oversampling,no selection,no cost sensitive,0.0510204,0.0273556,0.9726444,0.9489796,0.5263158,0.0510204,0.5353343,0.0289489
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,ibk,oversampling,no selection,no cost sensitive,0.7000000,0.5454545,0.4545455,0.3000000,0.1111111,0.7000000,0.6227949,0.0455633
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,ibk,oversampling,no selection,no cost sensitive,0.3529412,0.0934744,0.9065256,0.6470588,0.4752475,0.3529412,0.5927093,0.2875973
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,ibk,oversampling,no selection,no cost sensitive,0.5857143,0.2279534,0.7720466,0.4142857,0.3744292,0.5857143,0.6701450,0.2941099
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,ibk,oversampling,no selection,no cost sensitive,0.4915254,0.2091038,0.7908962,0.5084746,0.1647727,0.4915254,0.6552668,0.1479956
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,random forest,undersampling,no selection,no cost sensitive,0.6444444,0.2153846,0.7846154,0.3555556,0.5087719,0.6444444,0.7984330,0.3946541
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,random forest,undersampling,no selection,no cost sensitive,0.0561224,0.0151976,0.9848024,0.9438776,0.6875000,0.0561224,0.6035140,0.0502533
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,random forest,undersampling,no selection,no cost sensitive,0.8000000,0.3733766,0.6266234,0.2000000,0.1726619,0.8000000,0.7527868,0.1616170
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,random forest,undersampling,no selection,no cost sensitive,0.4779412,0.1111111,0.8888889,0.5220588,0.5078125,0.4779412,0.7805724,0.3752189
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,random forest,undersampling,no selection,no cost sensitive,0.8285714,0.2928453,0.7071547,0.1714286,0.3972603,0.8285714,0.8138995,0.3782305
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,random forest,undersampling,no selection,no cost sensitive,0.7796610,0.3598862,0.6401138,0.2203390,0.1538462,0.7796610,0.7659667,0.1466103
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,naive bayes,undersampling,no selection,no cost sensitive,0.2962963,0.0410256,0.9589744,0.7037037,0.7142857,0.2962963,0.7521273,0.3156597
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,naive bayes,undersampling,no selection,no cost sensitive,0.0102041,0.0000000,1.0000000,0.9897959,1.0000000,0.0102041,0.6609004,0.0127561
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,naive bayes,undersampling,no selection,no cost sensitive,0.0833333,0.0698052,0.9301948,0.9166667,0.1041667,0.0833333,0.6133387,0.0148703
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,naive bayes,undersampling,no selection,no cost sensitive,0.0220588,0.0105820,0.9894180,0.9779412,0.3333333,0.0220588,0.7106352,0.0177913
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,naive bayes,undersampling,no selection,no cost sensitive,0.0500000,0.0049917,0.9950083,0.9500000,0.7000000,0.0500000,0.6727181,0.0699031
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,naive bayes,undersampling,no selection,no cost sensitive,0.0847458,0.0085349,0.9914651,0.9152542,0.4545455,0.0847458,0.7484027,0.1214788
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,ibk,undersampling,no selection,no cost sensitive,0.5851852,0.3384615,0.6615385,0.4148148,0.3744076,0.5851852,0.6233618,0.2083734
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,ibk,undersampling,no selection,no cost sensitive,0.0561224,0.0151976,0.9848024,0.9438776,0.6875000,0.0561224,0.5794306,0.0502533
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,ibk,undersampling,no selection,no cost sensitive,0.7000000,0.5892857,0.4107143,0.3000000,0.1037037,0.7000000,0.5607684,0.0307970
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,ibk,undersampling,no selection,no cost sensitive,0.4852941,0.1975309,0.8024691,0.5147059,0.3707865,0.4852941,0.6583476,0.2575351
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,ibk,undersampling,no selection,no cost sensitive,0.7428571,0.3727121,0.6272879,0.2571429,0.3170732,0.7428571,0.6945686,0.2443165
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,ibk,undersampling,no selection,no cost sensitive,0.6101695,0.3115220,0.6884780,0.3898305,0.1411765,0.6101695,0.6549895,0.1184350
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,random forest,smote,no selection,no cost sensitive,0.6000000,0.2256410,0.7743590,0.4000000,0.4792899,0.6000000,0.7192023,0.3458805
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,random forest,smote,no selection,no cost sensitive,0.0255102,0.0030395,0.9969605,0.9744898,0.8333333,0.0255102,0.5039777,0.0279465
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,random forest,smote,no selection,no cost sensitive,0.8333333,0.3084416,0.6915584,0.1666667,0.2083333,0.8333333,0.7763934,0.2229885
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,random forest,smote,no selection,no cost sensitive,0.3014706,0.0352734,0.9647266,0.6985294,0.6721311,0.3014706,0.7743736,0.3367870
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,random forest,smote,no selection,no cost sensitive,0.6214286,0.1181364,0.8818636,0.3785714,0.5506329,0.6214286,0.8588602,0.4796407
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,random forest,smote,no selection,no cost sensitive,0.5084746,0.1877667,0.8122333,0.4915254,0.1851852,0.5084746,0.7756467,0.1782083
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,naive bayes,smote,no selection,no cost sensitive,0.3407407,0.0487179,0.9512821,0.6592593,0.7076923,0.3407407,0.7392308,0.3516295
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,naive bayes,smote,no selection,no cost sensitive,0.0204082,0.0000000,1.0000000,0.9795918,1.0000000,0.0204082,0.6702128,0.0254467
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,naive bayes,smote,no selection,no cost sensitive,0.1000000,0.0665584,0.9334416,0.9000000,0.1276596,0.1000000,0.6022321,0.0370659
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,naive bayes,smote,no selection,no cost sensitive,0.0147059,0.0088183,0.9911817,0.9852941,0.2857143,0.0147059,0.6889200,0.0092066
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,naive bayes,smote,no selection,no cost sensitive,0.0857143,0.0066556,0.9933444,0.9142857,0.7500000,0.0857143,0.6743404,0.1197307
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,naive bayes,smote,no selection,no cost sensitive,0.1016949,0.0085349,0.9914651,0.8983051,0.5000000,0.1016949,0.7105866,0.1466803
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,ibk,smote,no selection,no cost sensitive,0.5037037,0.2512821,0.7487179,0.4962963,0.4096386,0.5037037,0.6262108,0.2347953
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,ibk,smote,no selection,no cost sensitive,0.0255102,0.0030395,0.9969605,0.9744898,0.8333333,0.0255102,0.6074375,0.0279465
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,ibk,smote,no selection,no cost sensitive,0.7833333,0.5730519,0.4269481,0.2166667,0.1175000,0.7833333,0.6170996,0.0591117
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,ibk,smote,no selection,no cost sensitive,0.3235294,0.0652557,0.9347443,0.6764706,0.5432099,0.3235294,0.6794338,0.3051816
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,ibk,smote,no selection,no cost sensitive,0.6571429,0.2362729,0.7637271,0.3428571,0.3931624,0.6571429,0.7398978,0.3346849
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,ibk,smote,no selection,no cost sensitive,0.5423729,0.1593172,0.8406828,0.4576271,0.2222222,0.5423729,0.7191938,0.2307726
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,random forest,no sampling,best first,no cost sensitive,0.5555556,0.2102564,0.7897436,0.4444444,0.4777070,0.5555556,0.6297911,0.3278334
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,random forest,no sampling,best first,no cost sensitive,0.0357143,0.0121581,0.9878419,0.9642857,0.6363636,0.0357143,0.4984725,0.0291099
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,random forest,no sampling,best first,no cost sensitive,0.4666667,0.2370130,0.7629870,0.5333333,0.1609195,0.4666667,0.6861878,0.1236381
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,random forest,no sampling,best first,no cost sensitive,0.3602941,0.1199295,0.8800705,0.6397059,0.4188034,0.3602941,0.7307617,0.2538433
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,random forest,no sampling,best first,no cost sensitive,0.4642857,0.0499168,0.9500832,0.5357143,0.6842105,0.4642857,0.8221298,0.4726336
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,random forest,no sampling,best first,no cost sensitive,0.3220339,0.1152205,0.8847795,0.6779661,0.1900000,0.3220339,0.7326952,0.1568792
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,naive bayes,no sampling,best first,no cost sensitive,0.1629630,0.0282051,0.9717949,0.8370370,0.6666667,0.1629630,0.7910066,0.1789633
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,naive bayes,no sampling,best first,no cost sensitive,0.0459184,0.0000000,1.0000000,0.9540816,1.0000000,0.0459184,0.6351265,0.0568892
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,naive bayes,no sampling,best first,no cost sensitive,0.1500000,0.0422078,0.9577922,0.8500000,0.2571429,0.1500000,0.6315747,0.1327557
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,naive bayes,no sampling,best first,no cost sensitive,0.1323529,0.0017637,0.9982363,0.8676471,0.9473684,0.1323529,0.6994955,0.1940326
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,naive bayes,no sampling,best first,no cost sensitive,0.0714286,0.0016639,0.9983361,0.9285714,0.9090909,0.0714286,0.7617007,0.1078935
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,naive bayes,no sampling,best first,no cost sensitive,0.1016949,0.0071124,0.9928876,0.8983051,0.5454545,0.1016949,0.8027461,0.1507628
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,ibk,no sampling,best first,no cost sensitive,0.6296296,0.7128205,0.2871795,0.3703704,0.2341598,0.6296296,0.4597436,-0.0535977
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,ibk,no sampling,best first,no cost sensitive,0.0306122,0.0121581,0.9878419,0.9693878,0.6000000,0.0306122,0.6164940,0.0228341
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,ibk,no sampling,best first,no cost sensitive,0.5166667,0.1672078,0.8327922,0.4833333,0.2313433,0.5166667,0.6821293,0.2245011
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,ibk,no sampling,best first,no cost sensitive,0.3529412,0.1481481,0.8518519,0.6470588,0.3636364,0.3529412,0.6386101,0.2071082
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,ibk,no sampling,best first,no cost sensitive,0.4357143,0.0499168,0.9500832,0.5642857,0.6703297,0.4357143,0.7385191,0.4456143
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,ibk,no sampling,best first,no cost sensitive,0.3559322,0.1066856,0.8933144,0.6440678,0.2187500,0.3559322,0.6327242,0.1936281
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,random forest,oversampling,best first,no cost sensitive,0.6222222,0.6512821,0.3487179,0.3777778,0.2485207,0.6222222,0.5466762,-0.0194824
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,random forest,oversampling,best first,no cost sensitive,0.1071429,0.0668693,0.9331307,0.8928571,0.4883721,0.1071429,0.5156240,0.0478185
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,random forest,oversampling,best first,no cost sensitive,0.5833333,0.3376623,0.6623377,0.4166667,0.1440329,0.5833333,0.6570617,0.1033768
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,random forest,oversampling,best first,no cost sensitive,0.4926471,0.2028219,0.7971781,0.5073529,0.3681319,0.4926471,0.7268000,0.2568113
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,random forest,oversampling,best first,no cost sensitive,0.5928571,0.1747088,0.8252912,0.4071429,0.4414894,0.5928571,0.7820478,0.3695538
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,random forest,oversampling,best first,no cost sensitive,0.5762712,0.2361309,0.7638691,0.4237288,0.1700000,0.5762712,0.6881645,0.1623868
